,pop_min_age,pop_max_age,pop_sex,Anxiety,Arthritis,Asthma,CAD,COPD,Depression,Diabetes,Hyperlipidemia,Hypertension,Osteoporosis,Smoking,Obesity
10,30,34.0,F,290.3761783619138,78.7095675134527,73.63681872516561,11.384137298925435,16.433957907390095,290.3761783619138,8.687835026885688,95.31450904989286,78.43077184460282,0.0,99.58756859395262,175.82937224778138
11,30,34.0,M,167.4683107636409,44.94480961642833,47.146201417127095,1.164466516483737,14.881621395226674,167.4683107636409,17.581316957428403,122.18834753439822,169.73007514750276,0.0,158.01196653316723,253.16083237407815
12,35,39.0,F,273.63314151115844,114.83618773721683,101.67239531246463,2.312126904057219,9.105038685904645,273.63314151115844,26.402726188807076,103.59011101772732,82.11509179726464,0.0,65.954471491973,214.11859672551503
13,35,39.0,M,130.52079847945444,91.86542786205408,59.439689711352585,7.280656986915211,20.072868836426796,130.52079847945444,34.52146622582704,174.56371362585855,180.3669051550209,0.0,128.91992020990432,271.59659986816473
14,40,44.0,F,267.31095265473976,134.41189194924576,108.42497517554511,33.3214144075793,14.890777214200753,267.31095265473976,28.97027600933154,170.0799381882768,91.55043321712104,0.0,69.8059040492635,224.3073237094452
15,40,44.0,M,97.49069616413617,123.15305587650074,55.069177983009695,28.44152210482531,4.9871571456694035,97.49069616413617,57.485195610279646,243.1501019912075,222.6990679677281,0.0,128.30674678946636,239.17713305113926
16,45,49.0,F,321.4799666574294,170.60096554260264,129.1656612834683,32.983108280776975,50.69348616963918,321.4799666574294,39.13067530664917,208.2954224715216,152.90702473260257,0.0,64.96712221903287,267.1259973862615
17,45,49.0,M,163.8305992623578,168.54281908908914,68.10755961120431,37.41000007500193,15.489787010839677,163.8305992623578,70.59734266068628,298.592074124743,303.58882528149917,0.0,104.25526018801368,288.20271106841153
18,50,54.0,F,295.50005627028787,290.3420411701195,142.6385146265972,25.4894671708352,61.55938487997717,295.50005627028787,108.16026376718267,293.7955327843491,300.1432084505601,0.0,116.87188666181116,284.71673941867203
19,50,54.0,M,150.9065075078577,239.67927584254636,64.29526674077957,31.78786729144028,28.527137120897045,150.9065075078577,76.332258625261,340.94166147474346,325.91860973461615,0.0,119.11227413918586,320.918547477479
20,55,59.0,F,305.46523731873936,370.3642966667069,108.29199981005706,40.81505568033571,58.74934601012935,305.46523731873936,114.42202766918132,362.67265970776316,284.26614218111587,0.0,54.09050418731995,247.02735134296918
21,55,59.0,M,114.49663150736488,282.59950502668937,68.69160251999321,84.96055985216164,53.29362551382298,114.49663150736488,112.52458404576893,440.1311178100225,392.12590348843156,0.0,110.28060344483056,292.6099746046728
22,60,64.0,F,284.619718303122,438.28296352249697,105.89159827728145,33.05651549494309,64.54695145316191,284.619718303122,136.88746733865918,404.5633175537358,365.1411482418461,100.0,54.87316465001545,275.56376951706955
23,60,64.0,M,173.64597679746072,339.49577689431464,64.32538566936776,91.36750020102092,60.2748374087524,173.64597679746072,155.05450634044925,468.1964582546781,473.4698252972047,0.0,85.67429956583362,334.1199948397155
24,65,69.0,F,242.43381710368604,517.7231538868202,126.72462877283556,61.729451444709525,81.02027896700284,242.43381710368604,163.08266866476598,480.17340754459985,469.94098364644805,100.0,81.72867214935376,257.6273511932112
25,65,69.0,M,175.06368273434464,357.67808784419077,96.24087225901441,153.58594850015552,75.77129806938653,175.06368273434464,244.0772598065611,506.5565849281083,548.2027281550073,0.0,83.40166324274988,337.359537374541
26,70,74.0,F,232.61310385559085,643.388678304041,112.8912974802402,117.63111914770535,102.72723311796395,232.61310385559085,184.02354443322884,461.6618150002555,568.069495470421,200.0,30.19923294058571,251.26864458388403
27,70,74.0,M,107.25079858119265,474.3172050701911,44.48483453537206,247.98180306317155,100.80647271744179,107.25079858119265,268.2430411093603,517.6713227866838,585.3719582660324,0.0,64.48128499814018,220.4429563941807
28,75,79.0,F,272.52990581283217,564.5969863021612,143.38112623469252,70.06010964193014,86.52009878676577,272.52990581283217,206.8514181624391,556.51862623905,574.4824110848774,200.0,26.98420259424574,286.439340039395
29,75,79.0,M,99.87001945300034,394.2972125086491,50.63934820222235,182.94395470119687,64.36357691122002,99.87001945300034,237.81581834593615,481.9721133461032,584.906690090729,0.0,55.887228607504305,246.77899164932916
30,80,84.0,F,178.1681797730899,574.1546983405854,72.3259637413677,131.72709439376192,73.56594027444847,178.1681797730899,194.74652206955145,387.72141522789576,613.5146639271878,400.0,17.25123695212924,123.38193776249226
31,80,84.0,M,78.20383079147162,493.3613523822983,46.70436957079455,285.4098976782845,132.62275556846402,78.20383079147162,184.27886792731172,500.9348435686358,591.7269642745404,0.0,7.506633741116674,172.09996417314065
32,85,999.0,F,178.1681797730899,574.1546983405854,72.3259637413677,131.72709439376192,73.56594027444847,178.1681797730899,194.74652206955145,387.72141522789576,613.5146639271878,600.0,17.25123695212924,123.38193776249226
33,85,999.0,M,78.20383079147162,493.3613523822983,46.70436957079455,285.4098976782845,132.62275556846402,78.20383079147162,184.27886792731172,500.9348435686358,591.7269642745404,0.0,7.506633741116674,172.09996417314065
34,<<end>>,,,,,,,,,,,,,,
